No.,CPM,HMP,HAP,LMP,LAP
C1,0.5,0.5,0.5,0.1,0.1
C2,0.5,0.5,0.5,0.1,0.2
C3,0.5,0.5,0.5,0.1,0.3
C4,0.5,0.7,0.7,0.2,0.1
C5,0.5,0.7,0.7,0.2,0.2
C6,0.5,0.7,0.7,0.2,0.3
C7,0.5,0.9,0.9,0.3,0.1
C8,0.5,0.9,0.9,0.3,0.2
C9,0.5,0.9,0.9,0.3,0.3
C10,0.7,0.5,0.7,0.3,0.1
C11,0.7,0.5,0.7,0.3,0.2
C12,0.7,0.5,0.7,0.3,0.3
C13,0.7,0.7,0.9,0.1,0.1
C14,0.7,0.7,0.9,0.1,0.2
C15,0.7,0.7,0.9,0.1,0.3
C16,0.7,0.9,0.5,0.2,0.1
C17,0.7,0.9,0.5,0.2,0.2
C18,0.7,0.9,0.5,0.2,0.3
C19,0.9,0.5,0.9,0.2,0.1
C20,0.9,0.5,0.9,0.2,0.2
C21,0.9,0.5,0.9,0.2,0.3
C22,0.9,0.7,0.5,0.3,0.1
C23,0.9,0.7,0.5,0.3,0.2
C24,0.9,0.7,0.5,0.3,0.3
C25,0.9,0.9,0.7,0.1,0.1
C26,0.9,0.9,0.7,0.1,0.2
C27,0.9,0.9,0.7,0.1,0.3
